Joueur,Equipe_principale,Poste_simplifie,Score_Forme,Matchs,Minutes,Buts,Passes_decisives,Matchs_6_derniers
Florian Wirtz,Liverpool,MID,8.3,23,1719,4,2,6
Mohamed Salah,Liverpool,MID,8.18,16,1366,4,5,6
Hugo Ekitike,Liverpool,FWD,8.18,21,1365,10,2,6
Dominik Szoboszlai,Liverpool,MID,7.25,23,2066,3,2,6
Alisson,Liverpool,GK,6.0,19,1710,0,0,6
Morgan Gibbs-White,Nottingham Forest,MID,8.17,24,2080,6,2,6
Arnaud Kalimuendo Muinga,Nottingham Forest,FWD,6.47,9,75,0,0,6
Ibrahim Sangare,Nottingham Forest,MID,6.1,16,1164,2,2,6
John Victor,Nottingham Forest,GK,6.0,5,440,0,0,5
Elliot Anderson,Nottingham Forest,MID,5.6,24,2160,1,2,6
Raúl Jiménez,Fulham,FWD,7.84,23,1592,6,3,6
Harry Wilson,Fulham,MID,7.02,23,1822,8,4,6
Samuel Chukwueze,Fulham,MID,6.63,11,483,3,4,6
Bernd Leno,Fulham,GK,6.0,24,2160,0,0,6
Joachim Andersen,Fulham,DEF,5.68,23,2021,0,1,6
Thierno Barry,Everton,FWD,7.67,24,1394,5,0,6
Jack Grealish,Everton,MID,6.17,20,1645,2,6,6
Jordan Pickford,Everton,GK,6.0,24,2160,0,0,6
Michael Keane,Everton,DEF,5.88,20,1770,3,0,6
Idrissa Gueye,Everton,MID,5.71,15,1234,2,1,6
Martin Dubravka,Burnley,GK,6.0,24,2160,0,0,6
Marcus Edwards,Burnley,MID,5.96,14,633,1,2,6
Kyle Walker,Burnley,MID,5.76,23,2059,0,2,6
Jaidon Anthony,Burnley,MID,5.35,23,1546,5,1,6
Josh Cullen,Burnley,MID,5.17,18,1533,2,2,6
Ismaila Sarr,Crystal Palace,MID,6.55,14,1202,4,1,6
Daniel Muñoz,Crystal Palace,MID,6.19,16,1428,3,2,6
Odsonne Edouard,Crystal Palace,FWD,6.01,1,1,0,0,6
Dean Henderson,Crystal Palace,GK,6.0,24,2160,0,0,6
Jean-Philippe Mateta,Crystal Palace,FWD,5.81,23,1938,8,0,6
Thiago,Brentford,FWD,7.83,24,2032,16,1,6
Vitaly Janelt,Brentford,MID,6.42,19,1004,0,4,6
Caoimhin Kelleher,Brentford,GK,6.04,24,2160,0,0,6
Kevin Schade,Brentford,MID,5.88,23,1886,6,3,6
Nathan Collins,Brentford,MID,5.34,24,2020,1,2,6
Xavi Simons,Tottenham,MID,6.93,18,1218,1,4,6
Dominic Solanke,Tottenham,FWD,6.06,5,222,2,0,5
Micky van de Ven,Tottenham,DEF,6.04,22,1973,4,1,6
Guglielmo Vicario,Tottenham,GK,6.0,24,2160,0,0,6
Conor Gallagher,Tottenham,MID,5.9,3,267,0,1,6
Declan Rice,Arsenal,MID,6.48,23,1973,4,3,6
Martín Zubimendi,Arsenal,MID,6.29,24,2025,4,1,6
David Raya,Arsenal,GK,6.0,24,2160,0,0,6
Viktor Gyokeres,Arsenal,FWD,5.67,22,1485,6,0,6
Bukayo Saka,Arsenal,FWD,5.57,21,1553,4,3,6
Yasin Ayari,Brighton,MID,7.58,21,1702,3,2,6
Bart Verbruggen,Brighton,GK,6.0,24,2160,0,0,6
Pascal Groß,Brighton,MID,5.97,5,375,1,0,6
Kaoru Mitoma,Brighton,FWD,5.93,14,1012,2,1,6
Ferdi Kadioglu,Brighton,DEF,5.44,23,1885,0,0,6
Evanilson,Bournemouth,FWD,7.45,22,1714,5,0,6
Alex Scott,Bournemouth,MID,6.88,24,1745,2,1,6
Marcus Tavernier,Bournemouth,MID,6.86,22,1792,5,3,6
Justin Kluivert,Bournemouth,MID,6.23,18,909,2,0,6
Djordje Petrovic,Bournemouth,GK,6.0,24,2160,0,0,6
Brian Brobbey,Sunderland,FWD,7.17,19,941,5,1,6
Nordi Mukiele,Sunderland,DEF,6.52,22,1976,1,3,6
Enzo Le Fée,Sunderland,MID,6.38,23,1870,3,4,6
Robin Roefs,Sunderland,GK,6.0,24,2160,0,0,6
Chemsdine Talbi,Sunderland,MID,5.61,18,1005,3,1,6
Jarrod Bowen,West Ham,MID,8.18,24,2156,8,2,6
Crysencio Summerville,West Ham,MID,7.58,19,1440,3,1,6
Lucas Paquetá,West Ham,MID,6.74,18,1544,4,1,6
Aaron Wan-Bissaka,West Ham,DEF,6.59,15,1289,0,2,6
Mateus Fernandes,West Ham,MID,6.48,22,1787,3,2,6
Ollie Watkins,Aston Villa,FWD,8.45,23,1780,8,1,6
Morgan Rogers,Aston Villa,MID,6.72,24,2150,7,5,6
Youri Tielemans,Aston Villa,MID,6.17,17,1302,0,4,6
Boubacar Kamara,Aston Villa,MID,5.57,18,1434,1,3,6
Matty Cash,Aston Villa,DEF,5.56,23,2053,3,2,6
Bruno Fernandes,Manchester United,MID,9.52,21,1822,5,12,6
Patrick Dorgu,Manchester United,MID,8.02,22,1327,3,3,6
Bryan Mbeumo,Manchester United,FWD,7.82,19,1657,8,1,6
Casemiro,Manchester United,MID,7.11,22,1604,5,2,6
Amad Diallo Traore,Manchester United,MID,6.19,18,1482,2,2,6
Bernardo Silva,Manchester City,MID,6.92,24,1778,0,4,6
Erling Haaland,Manchester City,FWD,6.34,24,2031,20,5,6
Gianluigi Donnarumma,Manchester City,GK,6.0,21,1890,0,0,6
Matheus Nunes,Manchester City,DEF,5.43,21,1755,1,4,6
James Trafford,Manchester City,GK,5.4,3,270,0,0,3
Enzo Fernández,Chelsea,MID,8.5,23,1981,8,2,6
João Pedro,Chelsea,MID,7.06,24,1742,9,4,6
Cole Palmer,Chelsea,MID,6.6,13,873,4,0,6
Robert Sánchez,Chelsea,GK,6.0,23,1984,0,1,6
Estêvão,Chelsea,MID,5.51,18,686,2,2,6
Dominic Calvert-Lewin,Leeds,FWD,6.36,22,1581,9,1,6
Brenden Aaronson,Leeds,MID,6.32,23,1516,4,3,6
Anton Stach,Leeds,MID,6.25,21,1712,3,3,6
Lucas Perri,Leeds,GK,6.0,16,1440,0,0,6
Karl Darlow,Leeds,GK,6.0,8,720,0,0,6
Mateus Mané,Wolverhampton Wanderers,MID,6.15,13,704,2,1,6
Sam Johnstone,Wolverhampton Wanderers,GK,6.0,12,1080,0,0,6
José Sá,Wolverhampton Wanderers,GK,6.0,12,1080,0,0,6
Hugo Bueno,Wolverhampton Wanderers,MID,5.63,21,1425,0,1,6
Hee-Chan Hwang,Wolverhampton Wanderers,FWD,5.6,19,1133,2,1,6
Bruno Guimarães,Newcastle United,MID,8.69,21,1842,8,3,6
Anthony Gordon,Newcastle United,FWD,6.12,19,1284,3,1,6
Aaron Ramsdale,Newcastle United,GK,6.07,7,548,0,0,6
Harvey Barnes,Newcastle United,FWD,6.04,23,1197,5,0,6
Nick Pope,Newcastle United,GK,6.0,18,1612,0,0,6
Eberechi Eze,"Arsenal,Crystal Palace",MID,4.0,19,1083,4,2,6
Brennan Johnson,"Crystal Palace,Tottenham",MID,4.68,21,1010,2,0,6
Douglas Luiz,"Aston Villa,Nottingham Forest",MID,4.0,9,412,0,0,6
Marc Guiu,"Chelsea,Sunderland",MID,4.0,9,233,0,1,6
Harvey Elliott,"Aston Villa,Liverpool",MID,4.0,5,110,0,0,5
Facundo Buonanotte,"Chelsea,Leeds",MID,1.73,3,67,0,0,3
